family_key,family_label,scenario_key,scenario_label,agent,alpha_quality_score,risk_discipline_score,execution_robustness_score,alpha_pre_risk_total_return,total_return,max_drawdown,execution_fill_rate,risk_clipped_decisions,risk_violation_count
llm_synthetic,LLM synthetic,jump_tail,Jump and tail risk,poe:gpt-5.5,0.3089314627073641,0.375,0.6910414858298438,-0.015530147868385469,0.016686905489183834,-0.021397961890934902,0.6666666666666666,12,4
llm_synthetic,LLM synthetic,jump_tail,Jump and tail risk,poe:gemini-3.1-pro,0.5280827043985539,0.53125,0.6614927253707186,0.0031887840648348043,0.015666191920414185,-0.007501423714052713,0.6428571428571429,9,3
llm_synthetic,LLM synthetic,jump_tail,Jump and tail risk,poe:kimi-k2.5,0.30113546953818093,0.40625,0.6910414858298438,-0.016955664332237053,0.016686905489183834,-0.021397961890934902,0.6666666666666666,11,4
llm_synthetic,LLM synthetic,jump_tail,Jump and tail risk,poe:glm-5,0.34243449140644666,0.40625,0.714136723925082,-0.012350078630885775,0.016686905489183834,-0.021397961890934902,0.7142857142857143,11,4
llm_synthetic,LLM synthetic,jump_tail,Jump and tail risk,poe:claude-opus-4.7,0.29436092472789516,0.4375,0.6910414858298438,-0.019966573136808496,0.016686905489183834,-0.021397961890934902,0.6666666666666666,10,4
llm_synthetic,LLM synthetic,jump_tail,Jump and tail risk,deepseek:deepseek-v4-flash,0.3410793924315208,0.375,0.6910414858298438,-0.012487918403248144,0.016686905489183834,-0.021397961890934902,0.6666666666666666,12,4
llm_synthetic,LLM synthetic,jump_tail,Jump and tail risk,deepseek:deepseek-v4-pro,0.27092307471947896,0.0,0.7446312294195874,-0.02403418901356491,0.016686905489183834,-0.021397961890934902,0.7692307692307693,9,7
llm_synthetic,LLM synthetic,liquidity_collapse,Liquidity collapse,poe:gpt-5.5,1.0,0.71875,0.7494414611523081,0.15815690466668242,0.04416006916041204,-0.0011713690842416469,0.8,9,0
llm_synthetic,LLM synthetic,liquidity_collapse,Liquidity collapse,poe:gemini-3.1-pro,1.0,0.6875,0.7095161736812557,0.15828465206417652,0.020867624635534376,-0.01022505326272638,0.7692307692307693,10,0
llm_synthetic,LLM synthetic,liquidity_collapse,Liquidity collapse,poe:kimi-k2.5,1.0,0.71875,0.7494414611523081,0.17786427826645768,0.04416006916041204,-0.0011713690842416469,0.8,9,0
llm_synthetic,LLM synthetic,liquidity_collapse,Liquidity collapse,poe:glm-5,0.9666666666666668,0.65625,0.7905855195104925,0.17097023679874868,0.014962797065820821,-0.0372052787526056,0.8461538461538461,11,0
llm_synthetic,LLM synthetic,liquidity_collapse,Liquidity collapse,poe:claude-opus-4.7,1.0,0.75,0.7446600632122213,0.14805897941825918,0.04416006916041204,-0.0011713690842416469,0.8,8,0
llm_synthetic,LLM synthetic,liquidity_collapse,Liquidity collapse,deepseek:deepseek-v4-flash,1.0,0.71875,0.7494414611523081,0.18508470532914378,0.04416006916041204,-0.0011713690842416469,0.8,9,0
llm_synthetic,LLM synthetic,liquidity_collapse,Liquidity collapse,deepseek:deepseek-v4-pro,0.9560304614441637,0.0,0.737088146218494,0.0804579828640728,0.023637194586975108,-0.016678732212523473,0.625,6,8
llm_synthetic,LLM synthetic,spread_explosion,Spread explosion,poe:gpt-5.5,0.7838926512791167,0.65625,0.5604099756071385,0.0335819190870148,-0.015538595632362151,-0.042385397460331986,0.7692307692307693,9,1
llm_synthetic,LLM synthetic,spread_explosion,Spread explosion,poe:gemini-3.1-pro,0.8379942463255675,0.53125,0.5730425371975735,0.05339426820818871,-0.00648672314110732,-0.033427247951419825,0.7857142857142857,9,3
llm_synthetic,LLM synthetic,spread_explosion,Spread explosion,poe:kimi-k2.5,0.42792868062642464,0.75,0.5547265622740685,-0.001735255181625761,-0.0006997714470967642,-0.023337813269680985,0.75,8,0
llm_synthetic,LLM synthetic,spread_explosion,Spread explosion,poe:glm-5,0.6531765387159915,0.375,0.6421382745522801,0.016457018214834918,-0.011567619901294623,-0.026946008515300268,0.75,8,2
llm_synthetic,LLM synthetic,spread_explosion,Spread explosion,poe:claude-opus-4.7,0.7001222340643154,0.65625,0.5604099756071385,0.01921825250875031,-0.015538595632362151,-0.042385397460331986,0.7692307692307693,9,1
llm_synthetic,LLM synthetic,spread_explosion,Spread explosion,deepseek:deepseek-v4-flash,0.7824348449302923,0.65625,0.5604099756071385,0.03293400515420397,-0.015538595632362151,-0.042385397460331986,0.7692307692307693,9,1
llm_synthetic,LLM synthetic,spread_explosion,Spread explosion,deepseek:deepseek-v4-pro,0.6123937941803719,0.0,0.6723952719984465,0.008443386731635139,0.004837979222670485,-0.020633570209063867,0.8333333333333334,4,7
llm_synthetic,LLM synthetic,latency_spike,Latency spike,poe:gpt-5.5,0.6981551226892679,0.71875,0.47756919422352473,0.026720910436958345,0.0010006922786887085,-0.01326271723652983,0.2727272727272727,9,0
llm_synthetic,LLM synthetic,latency_spike,Latency spike,poe:gemini-3.1-pro,0.8495802376120858,0.59375,0.4745336656775082,0.07124201036727618,0.03290557483821965,-0.009126731449652481,0.23076923076923078,13,0
llm_synthetic,LLM synthetic,latency_spike,Latency spike,poe:kimi-k2.5,0.7019757246047187,0.71875,0.47756919422352473,0.02704494347891817,0.0010006922786887085,-0.01326271723652983,0.2727272727272727,9,0
llm_synthetic,LLM synthetic,latency_spike,Latency spike,poe:glm-5,0.7829696247233315,0.34375,0.4957510124053429,0.03909761098814735,0.0010006922786887085,-0.01326271723652983,0.3,9,2
llm_synthetic,LLM synthetic,latency_spike,Latency spike,poe:claude-opus-4.7,0.719496494549613,0.71875,0.47756919422352473,0.028665108688716856,0.0010006922786887085,-0.01326271723652983,0.2727272727272727,9,0
llm_synthetic,LLM synthetic,latency_spike,Latency spike,deepseek:deepseek-v4-flash,0.6981551226892679,0.71875,0.47756919422352473,0.026720910436958345,0.0010006922786887085,-0.01326271723652983,0.2727272727272727,9,0
llm_synthetic,LLM synthetic,latency_spike,Latency spike,deepseek:deepseek-v4-pro,0.6981551226892679,0.71875,0.47756919422352473,0.026720910436958345,0.0010006922786887085,-0.01326271723652983,0.2727272727272727,9,0
llm_real_market,LLM real-market,recent_cross_asset,Yahoo recent GSPC/BTC/BTC futures,poe:gpt-5.5,0.9400000000000001,0.29166666666666663,0.6869416743573207,0.23914407278596594,0.009544787382853137,-0.056618626037848285,0.8333333333333334,37,7
llm_real_market,LLM real-market,recent_cross_asset,Yahoo recent GSPC/BTC/BTC futures,poe:gemini-3.1-pro,0.7962586333720805,0.41666666666666663,0.6176217463097622,0.06932871798863682,0.04864212103857812,-0.04226851863858172,0.7307692307692307,24,9
llm_real_market,LLM real-market,recent_cross_asset,Yahoo recent GSPC/BTC/BTC futures,poe:kimi-k2.5,0.9400000000000001,0.29166666666666663,0.6804437369838344,0.2398811563742882,0.005538251031219188,-0.056618626037848285,0.8275862068965517,37,7
llm_real_market,LLM real-market,recent_cross_asset,Yahoo recent GSPC/BTC/BTC futures,poe:glm-5,0.9400000000000001,0.3472222222222222,0.6841834914331986,0.18598069661912753,0.006603659956621932,-0.056618626037848285,0.8214285714285714,33,7
